Name	Latein (wissenschaftlich)	Vorkommen	Wann	Speisewert
"Birkenrotkappe, Heiderotkappe, Schwarzschuppiger Birkenröhrling"	LECCINUM TESTACEOSCABRUM (SYN. LECCINUM VERSIPELLE)	"Birken, Symbiosepilz zur Birke."	Frühling bis Spätherbst	1
"Espenrotkappe, Rothäubchen, Pappelrotkappe"	LECCINUM AURANTIACUM	"Zitterpappeln, Symbiosepilz zur Pappel."	Frühling bis Spätherbst	1
"Flockenstieliger Hexenröhrling, Flocki, Zigeuner, Hexenpilz"	BOLETUS ERYTHROPUS (SYN. BOLETUS LURIDIFORMIS)	"Mischwald, saurer Boden"	Frühling bis Spätherbst	1
"Anhängselröhrling, Gelber Steinpilz, Gelber Bronzeröhrling,Gehämmerter Röhrling"	"BOLETUS APPENDICULATUS (Buchenwald Kalk) , BOLETUS SUBAPPENDICULATUS (Falscher Anhängselröhrling - Nadelwald)"	Laubwälder	Frühsommer bis Herbst	2
"Falscher Rotfußröhrling, Düsterner Rotfußröhrling"	XEROCOMUS POROSPORUS	"Mischwald, Symbiosepilz, sehr häufig."	Frühsommer bis Herbst	3
"Hainbuchenröhrling, Hainbuchenraufußröhrling, Hainbuchenraufuß"	LECCINUM CARPINI	"Laubwald (Symbiosepilz), meist unter Hainbuchen"	Frühsommer bis Herbst	1
Schmarotzerröhrling	XEROCOMUS PARASITICUS	"Er wächst meist auf dem ""Dickschaligen Kartoffelbovist"" (SCLERODERMA CITRINUM)und lässt ihn nicht zur Sporenreife gelangen, sondern zersetzt seinen Fruchtkörper"	Frühsommer bis Herbst	2
"Vielverfärbender Birkenpilz, Blauverfärbender Birkenpilz, Verfärbender Raufußröhrling"	LECCINUM VARIICOLOR	"Laubwald, Mischwald, nur bei Birken, saurer Boden, nie kalkreicher Boden, relativ selten, Symbiosepilz (Mykorrhizapartner Birke)"	Frühsommer bis Herbst	2
"Herbstrotfußröhrling, Bereifter Rotfußröhrling, Stattlicher Rotfußröhrling, Herbstrotfuß"	BOLETUS PRUINATUS	"Mischwald, Symbiosepilz, sehr häufig"	Frühsommer bis Herbst	3
"Rotfußröhrling, Gemeiner Rotfußröhrling, Echter Rotfußröhrling, Rotfuß"	XEROCOMUS CHRYSENTERON	"Mischwald, Symbiosepilz, sehr häufig."	Frühsommer bis Herbst	3
"Kiefernsteinpilz, Rothütiger Steinpilz, Gemeiner Steinpilz"	BOLETUS PINOPHILUS	"Meist Kiefern, Symbiosepilz, gelegentlich aber auch bei Weißtanne und Fichte"	Frühsommer bis Spätherbst	1
"Weißer Steinpilz, Weißer Steini"	BOLETUS EDULIS VARIETÄT ALBA	Mischwald	Frühsommer bis Spätherbst	1
"Sommersteinpilz, Eichensteinpilz, Schwarzer Steinpilz"	"EICHENSTEINPILZ (BOLETUS RETICULATUS), SCHWARZER STEINPILZ (BOLETUS AEREUS)"	"Mischwald, gerne Fichten oder Buchen"	Frühsommer bis Spätherbst	1
"Steinpilz, Fichtensteinpilz, Gemeiner Steinpilz"	BOLETUS EDULIS	Mischwald	Frühsommer bis Spätherbst	1
"Pfefferröhrling, Pfeffrige Zwerg-Röhrling"	CHALCIPORUS PIPERATUS	Mischwald	Frühsommer bis Spätherbst	2
"Blasshütiger Röhrling, Gefleckthütiger Röhrling, Marmorierter Röhrling, Gehämmerter Röhrling, Gehämmerter Steinpilz"	BOLETUS DEPILATUS	"Laubwald, gern Haibuchen, kalkreicher trockener Boden, Symbiosepilz"	Sommer bis Herbst	2
"Blutroter Röhrling, Blutroter Filzröhrling, Blutroter Rotfußröhrling"	XEROCOMUS RUBELLUS	"Mischwald, gern Eichenbegleiter"	Sommer bis Herbst	3
Aprikosenfarbiger Röhrling	BOLETUS ARMENIACUS	"Mischwald, wärmeliebend, in Deutschland selten, Im Mittelmeerraum häufig."	Sommer bis Herbst	3
